City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Inhambane,MZ,2021-05-23 20:19:30,-23.865,35.3833,66.69,68,0,9.17
225,Severo-Kurilsk,RU,2021-05-23 20:19:30,50.6789,156.125,45.23,63,41,3.22
226,Aklavik,CA,2021-05-23 20:19:30,68.2191,-135.0107,36.32,69,78,22.68
227,Bawku,GH,2021-05-23 20:19:31,11.0616,-0.2417,90.25,40,95,5.3
228,Kahului,US,2021-05-23 20:14:56,20.8947,-156.47,83.97,78,40,18.41
229,Sao Joao Da Barra,BR,2021-05-23 20:18:11,-21.6403,-41.0511,78.89,77,100,9.66
230,Guerrero Negro,MX,2021-05-23 20:18:55,27.9769,-114.0611,69.49,47,0,17.58
231,Dikson,RU,2021-05-23 20:19:32,73.5069,80.5464,29.16,94,100,18.37
232,Airai,TL,2021-05-23 20:19:32,-8.9266,125.4092,55.63,77,41,2.08
233,Ust-Tsilma,RU,2021-05-23 20:19:32,65.441,52.1498,35.06,66,10,4.14
234,Constitucion,CL,2021-05-23 20:19:33,-35.3333,-72.4167,60.1,62,27,13.44
235,Poum,NC,2021-05-23 20:19:33,-20.2333,164.0167,73.2,66,53,17.85
236,Kieta,PG,2021-05-23 20:19:33,-6.2167,155.6333,79.11,83,100,6.87
237,Camaqua,BR,2021-05-23 20:19:34,-30.8511,-51.8122,55.42,76,100,16.67
238,Sao Filipe,CV,2021-05-23 20:19:34,14.8961,-24.4956,73.94,76,0,11.54
239,Navolato,MX,2021-05-23 20:19:34,24.7672,-107.6944,98.64,16,0,13.78
240,Kaabong,UG,2021-05-23 20:19:35,3.4836,34.1492,64.85,84,9,1.19
241,Klaksvik,FO,2021-05-23 20:19:35,62.2266,-6.589,45.52,75,90,6.62
242,Acapulco,MX,2021-05-23 20:19:35,16.8634,-99.8901,91.22,49,1,10.54
243,Atocha,BO,2021-05-23 20:19:36,-20.9333,-66.2333,48.92,11,100,22.93
244,Pacifica,US,2021-05-23 20:19:31,37.6138,-122.4869,71.62,75,40,1.01
245,Yellowknife,CA,2021-05-23 20:19:03,62.456,-114.3525,63.32,45,20,5.99
246,Adrar,MR,2021-05-23 20:19:36,20.5022,-10.0711,97.93,13,8,8.16
247,Nerja,ES,2021-05-23 20:19:37,36.7585,-3.8873,64.22,67,6,8.01
248,Kortkeros,RU,2021-05-23 20:19:37,61.8106,51.5806,48.2,53,88,1.86
249,Rocha,UY,2021-05-23 20:19:37,-34.4833,-54.3333,54.93,93,100,24.9
250,Verin,ES,2021-05-23 20:19:38,41.9415,-7.4381,53.28,71,19,5.73
251,Kutum,SD,2021-05-23 20:19:38,14.2,24.6667,79.38,15,5,13.24
252,Pandan,PH,2021-05-23 20:19:38,14.0453,124.1694,80.67,83,16,6.44
253,Port Hawkesbury,CA,2021-05-23 20:19:39,45.6169,-61.3485,58.87,95,90,5.99
254,Burns Lake,CA,2021-05-23 20:15:13,54.2331,-125.7533,58.42,29,0,4.68
255,Cururupu,BR,2021-05-23 20:17:40,-1.8283,-44.8683,82.49,74,97,5.37
256,Longyearbyen,SJ,2021-05-23 20:15:22,78.2186,15.6401,20.48,81,42,1.48
257,Capitan Bado,PY,2021-05-23 20:19:40,-23.2667,-55.5333,66.76,25,0,10.67
258,Auki,SB,2021-05-23 20:19:40,-8.7676,160.7034,76.44,90,100,10.07
259,Doka,SD,2021-05-23 20:19:40,13.5167,35.7667,92.44,10,3,6.87
260,Ketchikan,US,2021-05-23 20:19:40,55.3422,-131.6461,52.27,82,90,9.22
261,Labuhan,ID,2021-05-23 20:19:41,-6.8844,112.2051,77.95,87,49,4.92
262,Kyshtovka,RU,2021-05-23 20:19:41,56.555,76.6271,59.4,92,99,7.96
263,Athens,GR,2021-05-23 20:17:01,37.9795,23.7162,73.38,58,0,1.97
264,Xiuyan,CN,2021-05-23 20:19:01,40.2928,123.2744,47.57,76,0,1.81
265,Takoradi,GH,2021-05-23 20:19:42,4.8845,-1.7554,80.69,84,9,9.28
266,Udachnyy,RU,2021-05-23 20:19:42,66.4167,112.4,37.74,66,51,8.95
267,Kaupanger,NO,2021-05-23 20:19:42,61.1845,7.2404,55.89,62,40,1.14
268,Stantsionno-Oyashinskiy,RU,2021-05-23 20:19:43,55.4664,83.8245,65.62,96,100,11.14
269,Neryungri,RU,2021-05-23 20:19:43,56.6709,124.6491,31.77,99,100,3.02
270,Prince George,CA,2021-05-23 20:17:38,53.9166,-122.753,68.29,32,1,1.99
271,Ornskoldsvik,SE,2021-05-23 20:19:44,63.2909,18.7153,42.62,81,90,1.79
272,Mount Pleasant,US,2021-05-23 20:15:13,32.7941,-79.8626,94.17,56,1,3.0
273,Weligama,LK,2021-05-23 20:19:44,5.9667,80.4167,80.78,86,100,13.71
274,Keuruu,FI,2021-05-23 20:19:44,62.2667,24.7,51.94,84,100,9.01
275,Brainerd,US,2021-05-23 20:17:00,46.358,-94.2008,53.38,81,90,10.36
276,Okmulgee,US,2021-05-23 20:19:45,35.6234,-95.9605,76.01,100,90,10.02
277,Sao Sebastiao,BR,2021-05-23 20:19:45,-23.76,-45.4097,74.95,85,100,2.57
278,Coquimbo,CL,2021-05-23 20:17:50,-29.9533,-71.3436,64.13,53,0,7.14
279,Bose,IT,2021-05-23 20:19:45,45.4612,8.0137,62.47,71,100,5.77
280,Stykkisholmur,IS,2021-05-23 20:19:46,65.0757,-22.7297,41.02,76,79,12.08
281,Kavieng,PG,2021-05-23 20:19:46,-2.5744,150.7967,81.18,83,100,12.86
282,Diu,IN,2021-05-23 20:19:47,20.7141,70.9822,83.57,77,0,12.19
283,Ust-Kuyga,RU,2021-05-23 20:19:47,70.0167,135.6,32.29,70,8,2.62
284,Cayenne,GF,2021-05-23 20:15:14,4.9333,-52.3333,77.09,90,75,3.0
