City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Meulaboh,ID,4.1363,96.1285,77.43,89,99,1.68,overcast clouds
272,Raudeberg,NO,61.9875,5.1352,61.47,55,18,9.93,few clouds
273,Emerald,AU,-23.5333,148.1667,66.34,68,93,10.36,overcast clouds
274,Sibolga,ID,1.7427,98.7792,77.61,90,100,3.0,overcast clouds
275,Santa Maria,BR,-29.6842,-53.8069,54.7,94,0,5.37,clear sky
276,Mayumba,GA,-3.432,10.6554,75.72,94,5,6.87,clear sky
277,Palmer,US,42.1584,-72.3287,70.93,79,90,1.01,light intensity drizzle
278,Zenzeli,RU,45.9241,47.0474,61.9,68,0,11.81,clear sky
279,Tasiilaq,GL,65.6145,-37.6368,42.96,76,86,5.44,overcast clouds
280,Morondava,MG,-20.2833,44.2833,68.83,86,20,8.16,few clouds
281,Saint-Pierre,RE,-21.3393,55.4781,71.24,66,0,6.91,clear sky
282,Verkhnyaya Inta,RU,65.9811,60.3094,41.76,83,53,12.64,broken clouds
283,Rutul,RU,41.5357,47.4239,58.1,90,2,3.29,clear sky
284,Kahului,US,20.8947,-156.47,85.96,66,40,26.46,scattered clouds
285,San Patricio,US,28.017,-97.5169,74.84,85,96,13.38,moderate rain
286,Provideniya,RU,64.3833,-173.3,37.51,65,75,8.95,broken clouds
287,Pundaguitan,PH,6.3711,126.1689,83.26,76,68,8.99,broken clouds
288,Cabo San Lucas,MX,22.8909,-109.9124,94.8,48,1,10.89,clear sky
289,Neryungri,RU,56.6709,124.6491,61.72,48,8,8.14,clear sky
290,Grand Forks,US,47.9417,-97.4337,91.33,26,40,10.36,scattered clouds
291,Hambantota,LK,6.1241,81.1185,78.93,87,99,14.47,overcast clouds
292,Odweyne,SO,9.4092,45.064,73.8,54,87,8.9,overcast clouds
293,Nikolskoye,RU,59.7035,30.7861,53.49,83,23,4.03,few clouds
294,Mujiayingzi,CN,42.1167,118.7833,56.73,57,85,12.91,light rain
295,Sidney,AU,-33.8679,151.2073,63.72,80,20,1.01,few clouds
296,Vera Cruz,BR,-12.6333,-41.0333,72.97,57,62,6.91,broken clouds
297,Skibbereen,IE,51.55,-9.2667,51.6,91,100,11.59,overcast clouds
298,Ayan,RU,56.45,138.1667,38.12,97,100,10.49,overcast clouds
299,Kedrovyy,RU,56.1667,91.8167,52.21,94,98,3.71,overcast clouds
300,Kununurra,AU,-15.7667,128.7333,78.78,44,67,5.75,broken clouds
301,Northview,US,43.0456,-85.6006,80.65,36,75,8.9,broken clouds
302,Ossora,RU,59.2353,163.0719,50.79,63,12,4.38,few clouds
303,Gelemso,ET,8.8167,40.5167,61.25,70,76,4.27,broken clouds
304,Jambi,ID,-1.6,103.6167,76.53,96,97,3.2,overcast clouds
305,Leh,IN,34.1667,77.5833,46.26,77,100,1.34,overcast clouds
306,Faanui,PF,-16.4833,-151.75,80.33,76,50,9.01,light rain
307,Gushikawa,JP,26.3544,127.8686,85.62,85,40,15.66,scattered clouds
